HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
"""2833.3010""",2833.3010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2833.3090""",2833.3090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2833.4000""",2833.4000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""28.34""",28.34,28.34,,,,,
"""2834.1000""",2834.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2834.2110""",2834.2110 - 4?0,4?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,MU,RAS ,",,,
,,,,"RAU ,RKR ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2.5,JP,,,
"""2834.2190""",2834.2190 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2834.2910""",2834.2910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2834.2990""",2834.2990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.35""",28.35,28.35,,,,,
"""2835.1000""",2835.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.2200""",2835.2200  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2835.2400""",2835.2400  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.2510""",2835.2510 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.2520""",2835.2520 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.2590""",2835.2590 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU R , KR R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2.2,CH,,,
,,,3.5,JP,,,
"""2835.2600""",2835.2600  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2835.2910""",2835.2910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.2990""",2835.2990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2835.3110""",2835.3110 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.3190""",2835.3190 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2835.3911""",2835.3911  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2835.3919""",2835.3919  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,RJP,,,
"""2835.3990""",2835.3990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"RCH,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.5,JP,,,
"""28.36""",28.36,28.36,,,,,
"""2836.2000""",2836.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.3000""",2836.3000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2836.4000""",2836.4000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.5000""",2836.5000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.6000""",2836.6000 - 5?1,5?1,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.9100""",2836.9100  5?0,5?0,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , KR ,RNZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.5,JP,,,
"""2836.9200""",2836.9200  5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.9910""",2836.9910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2836.9930""",2836.9930 - 5?0,5?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,4,AP,,,
"""2836.9940""",2836.9940 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.9950""",2836.9950 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2836.9990""",2836.9990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.37""",28.37,28.37,,,,,
"""2837.1110""",2837.1110 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.4,KR,,,
,,,3.3,"AS , AU R , KR R , NZ",,,
,,,4.1,JP,,,
"""2837.1120""",2837.1120 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,3.3,AP,,,
"""2837.1910""",2837.1910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,4,AP,,,
"""2837.1990""",2837.1990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.4,KR,,,
,,,3.3,"AS R , AU R , KR R , NZ",,,
,,,4.1,JP,,,
"""2837.2000""",2837.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.39""",28.39,28.39,,,,,
"""2839.1100""",2839.1100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2839.1910""",2839.1910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,RKR,,,
,,,3.5,JP,,,
"""2839.1990""",2839.1990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2839.9000""",2839.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.5,JP,,,
"""28.4""",28.4,28.4,,,,,
"""2840.1100""",2840.1100  5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2840.1900""",2840.1900  5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2840.2000""",2840.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2840.3000""",2840.3000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.41""",28.41,28.41,,,,,
"""2841.3000""",2841.3000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.5000""",2841.5000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""-""",-,,,,,,
"""2841.6100""",2841.6100  5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.6910""",2841.6910 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.6990""",2841.6990 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.7010""",2841.7010 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,2.8,AP,,,
"""2841.7090""",2841.7090 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.8010""",2841.8010 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.8020""",2841.8020 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.8030""",2841.8030 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.8040""",2841.8040 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2841.8090""",2841.8090 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,2.8,AP,,,
"""2841.9000""",2841.9000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,RJP,,,
"""28.42""",28.42,28.42,,,,,
,",",,,,,,
"""2842.1000""","2842.1000 -,( 5.5",5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"AU ,RKR ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2.2,CH,,,
,,,3.5,JP,,,
"""2842.9011""",2842.9011  5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9019""",2842.9019  5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9020""",2842.9020 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9030""",2842.9030 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9040""",2842.9040 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2842.9050""",2842.9050 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9060""",2842.9060 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2842.9090""",2842.9090 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.43""",28.43,28.43,,,,,
"""2843.1000""",2843.1000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2843.2100""",2843.2100  5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2843.2900""",2843.2900  5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2843.3000""",2843.3000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,4.4,AP,,,
"""2843.9000""",2843.9000 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU R , KR R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.5,JP,,,
"""28.44""",28.44,28.44,,,,,
"""2844.1000""",2844.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,(,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"AS , AU ,RJP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.2000""",2844.2000 -235 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,235,,,"CH,IS,KR,AU,GE,MU,",,,
,(,,,"RAS R , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.3000""",2844.3000 -235 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,235,,,"CH,IS,KR,AU,GE,MU,",,,
,(,,,"RAS ,RAU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4100""",2844.4100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"AS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4210""",2844.4210 223-223,4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4290""",2844.4290 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4310""",2844.4310 223-223,4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4320""",2844.4320 -,4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.4390""",2844.4390 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.44""",2844.44,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2844.5000""",2844.5000 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.45""",28.45 28.44,28.44,,,,,
"""2845.1000""",2845.1000 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU ,RJP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2845.2000""",2845.2000 10,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2845.3000""",2845.3000 6,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2845.4000""",2845.4000 3,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2845.9000""",2845.9000 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP ,RKR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.46""",28.46,28.46,,,,,
"""2846.1010""",2846.1010 -,5?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,2.5,AP,,,
